instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland4,1,0,82.0000,92.0000,510.0000,82.0000,10.0000,0.0000,300.0000,30.0000,30.0000
airland4,2,1,84.0000,93.0000,509.0000,90.0000,3.0000,0.0000,90.0000,30.0000,30.0000
airland4,3,4,89.0000,98.0000,510.0000,98.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland4,4,8,101.0000,112.0000,528.0000,106.0000,6.0000,0.0000,180.0000,30.0000,30.0000
airland4,5,7,105.0000,116.0000,542.0000,114.0000,2.0000,0.0000,60.0000,30.0000,30.0000
airland4,6,6,105.0000,118.0000,550.0000,122.0000,0.0000,4.0000,120.0000,30.0000,30.0000
airland4,7,5,104.0000,117.0000,552.0000,130.0000,0.0000,13.0000,390.0000,30.0000,30.0000
airland4,8,12,123.0000,137.0000,573.0000,138.0000,0.0000,1.0000,30.0000,30.0000,30.0000
airland4,9,11,138.0000,156.0000,630.0000,146.0000,10.0000,0.0000,300.0000,30.0000,30.0000
airland4,10,15,140.0000,156.0000,609.0000,154.0000,2.0000,0.0000,60.0000,30.0000,30.0000
airland4,11,18,150.0000,168.0000,627.0000,162.0000,6.0000,0.0000,180.0000,30.0000,30.0000
airland4,12,16,151.0000,170.0000,642.0000,170.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland4,13,14,153.0000,174.0000,663.0000,178.0000,0.0000,4.0000,120.0000,30.0000,30.0000
airland4,14,17,151.0000,169.0000,634.0000,186.0000,0.0000,17.0000,510.0000,30.0000,30.0000
airland4,15,2,150.0000,183.0000,599.0000,201.0000,0.0000,18.0000,180.0000,10.0000,10.0000
airland4,16,3,204.0000,270.0000,760.0000,270.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland4,17,9,221.0000,280.0000,742.0000,280.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland4,18,13,235.0000,291.0000,746.0000,291.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland4,19,10,232.0000,295.0000,766.0000,295.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland4,20,19,286.0000,357.0000,840.0000,357.0000,0.0000,0.0000,0.0000,10.0000,10.0000
