instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland9,1,0,601.0000,908.0000,2401.0000,888.0000,20.0000,0.0000,29.0000,1.4500,1.1000
airland9,2,1,725.0000,1027.0000,2525.0000,978.0000,49.0000,0.0000,89.1800,1.8200,1.5600
airland9,3,2,928.0000,1378.0000,2728.0000,1091.0000,287.0000,0.0000,401.8000,1.4000,1.8500
airland9,4,5,1119.0000,1235.0000,2919.0000,1159.0000,76.0000,0.0000,105.6400,1.3900,1.6300
airland9,5,7,1195.0000,1401.0000,2995.0000,1249.0000,152.0000,0.0000,241.6800,1.5900,1.8200
airland9,6,9,1218.0000,1343.0000,3018.0000,1362.0000,0.0000,19.0000,35.7200,1.5900,1.8800
airland9,7,3,974.0000,1502.0000,2774.0000,1430.0000,72.0000,0.0000,126.7200,1.7600,1.2700
airland9,8,6,1148.0000,1520.0000,2948.0000,1520.0000,0.0000,0.0000,0.0000,1.9400,1.2200
airland9,9,8,1201.0000,1584.0000,3001.0000,1588.0000,0.0000,4.0000,5.3200,1.0200,1.3300
airland9,10,4,1056.0000,1618.0000,2856.0000,1656.0000,0.0000,38.0000,58.9000,1.6700,1.5500
airland9,11,11,1288.0000,1700.0000,3088.0000,1746.0000,0.0000,46.0000,80.9600,1.1300,1.7600
airland9,12,12,1613.0000,1724.0000,3413.0000,1859.0000,0.0000,135.0000,166.0500,1.6600,1.2300
airland9,13,13,1671.0000,1907.0000,3471.0000,1927.0000,0.0000,20.0000,34.4000,1.6100,1.7200
airland9,14,15,1801.0000,2003.0000,3601.0000,1995.0000,8.0000,0.0000,8.7200,1.0900,1.7300
airland9,15,10,1224.0000,1787.0000,3024.0000,2063.0000,0.0000,276.0000,317.4000,1.6200,1.1500
airland9,16,16,2067.0000,2169.0000,3867.0000,2153.0000,16.0000,0.0000,29.6000,1.8500,1.6900
airland9,17,17,2091.0000,2215.0000,3891.0000,2243.0000,0.0000,28.0000,32.7600,1.8900,1.1700
airland9,18,14,1700.0000,2234.0000,3500.0000,2333.0000,0.0000,99.0000,100.9800,1.7800,1.0200
airland9,19,19,2340.0000,2436.0000,4140.0000,2436.0000,0.0000,0.0000,0.0000,1.6700,1.0200
airland9,20,18,2242.0000,2781.0000,4042.0000,2764.0000,17.0000,0.0000,22.1000,1.3000,1.0800
airland9,21,23,2803.0000,2918.0000,4603.0000,2899.0000,19.0000,0.0000,20.5200,1.0800,1.9000
airland9,22,21,2705.0000,2967.0000,4505.0000,2967.0000,0.0000,0.0000,0.0000,1.2600,1.0900
airland9,23,22,2726.0000,2971.0000,4526.0000,3035.0000,0.0000,64.0000,96.0000,1.7000,1.5000
airland9,24,20,2619.0000,3111.0000,4419.0000,3125.0000,0.0000,14.0000,18.0600,1.0200,1.2900
airland9,25,24,2882.0000,3258.0000,4682.0000,3258.0000,0.0000,0.0000,0.0000,1.5800,1.8300
airland9,26,26,3335.0000,3468.0000,5135.0000,3353.0000,115.0000,0.0000,131.1000,1.1400,1.2900
airland9,27,29,3428.0000,3495.0000,5228.0000,3466.0000,29.0000,0.0000,34.8000,1.2000,1.4400
airland9,28,30,3463.0000,3579.0000,5263.0000,3534.0000,45.0000,0.0000,57.1500,1.2700,1.7400
airland9,29,28,3368.0000,3647.0000,5168.0000,3647.0000,0.0000,0.0000,0.0000,1.5500,1.7800
airland9,30,25,3246.0000,3728.0000,5046.0000,3715.0000,13.0000,0.0000,14.0400,1.0800,1.8700
airland9,31,27,3357.0000,3750.0000,5157.0000,3783.0000,0.0000,33.0000,36.3000,1.2000,1.1000
airland9,32,34,3632.0000,3854.0000,5432.0000,3851.0000,3.0000,0.0000,5.6400,1.8800,1.9900
airland9,33,33,3623.0000,3749.0000,5423.0000,3919.0000,0.0000,170.0000,258.4000,1.6600,1.5200
airland9,34,32,3544.0000,3764.0000,5344.0000,4009.0000,0.0000,245.0000,254.8000,1.3800,1.0400
airland9,35,31,3495.0000,4079.0000,5295.0000,4144.0000,0.0000,65.0000,115.7000,1.9700,1.7800
airland9,36,35,3723.0000,4273.0000,5523.0000,4273.0000,0.0000,0.0000,0.0000,1.5600,1.8500
airland9,37,36,4190.0000,4469.0000,5990.0000,4469.0000,0.0000,0.0000,0.0000,1.2000,1.7500
airland9,38,39,4376.0000,4695.0000,6176.0000,4633.0000,62.0000,0.0000,80.6000,1.3000,1.1800
airland9,39,37,4220.0000,4771.0000,6020.0000,4723.0000,48.0000,0.0000,93.1200,1.9400,1.2900
airland9,40,38,4246.0000,4836.0000,6046.0000,4836.0000,0.0000,0.0000,0.0000,1.9900,1.8400
airland9,41,40,4483.0000,4829.0000,6283.0000,4904.0000,0.0000,75.0000,135.7500,1.6700,1.8100
airland9,42,43,4982.0000,5224.0000,6782.0000,5124.0000,100.0000,0.0000,157.0000,1.5700,1.7200
airland9,43,45,5030.0000,5492.0000,6830.0000,5237.0000,255.0000,0.0000,311.1000,1.2200,1.3500
airland9,44,41,4894.0000,5400.0000,6694.0000,5305.0000,95.0000,0.0000,123.5000,1.3000,1.0800
airland9,45,46,5145.0000,5373.0000,6945.0000,5373.0000,0.0000,0.0000,0.0000,1.7000,1.0800
airland9,46,44,5021.0000,5443.0000,6821.0000,5441.0000,2.0000,0.0000,3.1400,1.5700,1.7800
airland9,47,42,4965.0000,5536.0000,6765.0000,5509.0000,27.0000,0.0000,32.4000,1.2000,1.7500
airland9,48,49,5224.0000,5588.0000,7024.0000,5622.0000,0.0000,34.0000,52.7000,1.1300,1.5500
airland9,49,50,5346.0000,5636.0000,7146.0000,5690.0000,0.0000,54.0000,103.6800,1.6100,1.9200
airland9,50,48,5214.0000,5749.0000,7014.0000,5758.0000,0.0000,9.0000,12.3300,1.1900,1.3700
airland9,51,47,5175.0000,5731.0000,6975.0000,5826.0000,0.0000,95.0000,114.0000,1.9900,1.2000
airland9,52,51,5588.0000,5946.0000,7388.0000,5946.0000,0.0000,0.0000,0.0000,1.4600,1.7400
airland9,53,53,5704.0000,6074.0000,7504.0000,6059.0000,15.0000,0.0000,26.2500,1.7500,1.3800
airland9,54,52,5691.0000,6145.0000,7491.0000,6149.0000,0.0000,4.0000,7.5600,1.9700,1.8900
airland9,55,54,5808.0000,6223.0000,7608.0000,6223.0000,0.0000,0.0000,0.0000,1.6100,1.2000
airland9,56,58,6208.0000,6344.0000,8008.0000,6291.0000,53.0000,0.0000,76.3200,1.4400,1.8700
airland9,57,56,5981.0000,6404.0000,7781.0000,6404.0000,0.0000,0.0000,0.0000,1.1700,1.5000
airland9,58,57,6102.0000,6455.0000,7902.0000,6472.0000,0.0000,17.0000,22.4400,1.4700,1.3200
airland9,59,55,5944.0000,6521.0000,7744.0000,6585.0000,0.0000,64.0000,69.7600,1.8900,1.0900
airland9,60,59,6582.0000,6867.0000,8382.0000,6867.0000,0.0000,0.0000,0.0000,1.3900,1.8900
airland9,61,60,6842.0000,6972.0000,8642.0000,6972.0000,0.0000,0.0000,0.0000,1.8000,1.2900
airland9,62,61,7168.0000,7439.0000,8968.0000,7439.0000,0.0000,0.0000,0.0000,1.8000,1.5400
airland9,63,62,7240.0000,7635.0000,9040.0000,7635.0000,0.0000,0.0000,0.0000,1.0700,1.4600
airland9,64,63,7508.0000,7824.0000,9308.0000,7824.0000,0.0000,0.0000,0.0000,1.8200,1.2700
airland9,65,66,7725.0000,8080.0000,9525.0000,7958.0000,122.0000,0.0000,167.1400,1.3700,1.5100
airland9,66,65,7635.0000,8124.0000,9435.0000,8048.0000,76.0000,0.0000,113.2400,1.4900,1.5000
airland9,67,64,7632.0000,8162.0000,9432.0000,8161.0000,1.0000,0.0000,1.5500,1.5500,1.8000
airland9,68,67,7774.0000,8149.0000,9574.0000,8229.0000,0.0000,80.0000,100.8000,1.6500,1.2600
airland9,69,68,8071.0000,8291.0000,9871.0000,8319.0000,0.0000,28.0000,51.8000,1.8000,1.8500
airland9,70,69,8152.0000,8349.0000,9952.0000,8387.0000,0.0000,38.0000,38.7600,1.7300,1.0200
airland9,71,71,8350.0000,8455.0000,10150.0000,8455.0000,0.0000,0.0000,0.0000,1.7400,1.5300
airland9,72,70,8244.0000,8715.0000,10044.0000,8715.0000,0.0000,0.0000,0.0000,1.9600,1.5300
airland9,73,72,8623.0000,8903.0000,10423.0000,8903.0000,0.0000,0.0000,0.0000,1.7700,1.6100
airland9,74,73,9001.0000,9293.0000,10801.0000,9293.0000,0.0000,0.0000,0.0000,1.5400,1.2900
airland9,75,74,9365.0000,9508.0000,11165.0000,9508.0000,0.0000,0.0000,0.0000,1.4800,1.6500
airland9,76,76,9630.0000,9796.0000,11430.0000,9796.0000,0.0000,0.0000,0.0000,1.7300,1.5300
airland9,77,75,9569.0000,9988.0000,11369.0000,9988.0000,0.0000,0.0000,0.0000,1.6200,1.8200
airland9,78,78,9822.0000,10108.0000,11622.0000,10108.0000,0.0000,0.0000,0.0000,1.7600,1.8300
airland9,79,77,9820.0000,10300.0000,11620.0000,10300.0000,0.0000,0.0000,0.0000,1.7600,1.9900
airland9,80,84,10444.0000,10515.0000,12244.0000,10515.0000,0.0000,0.0000,0.0000,1.0600,1.8700
airland9,81,79,10119.0000,10666.0000,11919.0000,10636.0000,30.0000,0.0000,48.3000,1.6100,1.7500
airland9,82,80,10152.0000,10704.0000,11952.0000,10704.0000,0.0000,0.0000,0.0000,1.7200,1.8400
airland9,83,81,10388.0000,10779.0000,12188.0000,10817.0000,0.0000,38.0000,47.8800,1.9700,1.2600
airland9,84,83,10411.0000,10943.0000,12211.0000,10885.0000,58.0000,0.0000,60.9000,1.0500,1.1900
airland9,85,82,10397.0000,10944.0000,12197.0000,10953.0000,0.0000,9.0000,17.6400,1.2100,1.9600
airland9,86,87,10858.0000,11071.0000,12658.0000,11066.0000,5.0000,0.0000,5.7000,1.1400,1.1000
airland9,87,85,10741.0000,11112.0000,12541.0000,11134.0000,0.0000,22.0000,41.3600,1.7400,1.8800
airland9,88,86,10816.0000,11288.0000,12616.0000,11267.0000,21.0000,0.0000,29.1900,1.3900,1.6300
airland9,89,89,11043.0000,11335.0000,12843.0000,11335.0000,0.0000,0.0000,0.0000,1.9100,1.8500
airland9,90,88,10930.0000,11353.0000,12730.0000,11425.0000,0.0000,72.0000,126.7200,1.4900,1.7600
