instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland6,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000
airland6,2,1,79.0000,79.0000,96.0000,96.0000,0.0000,17.0000,68.0000,4.0000,4.0000
airland6,3,2,144.0000,144.0000,192.0000,192.0000,0.0000,48.0000,192.0000,4.0000,4.0000
airland6,4,3,204.0000,204.0000,392.0000,392.0000,0.0000,188.0000,564.0000,3.0000,3.0000
airland6,5,4,264.0000,264.0000,464.0000,464.0000,0.0000,200.0000,800.0000,4.0000,4.0000
airland6,6,5,320.0000,320.0000,560.0000,560.0000,0.0000,240.0000,960.0000,4.0000,4.0000
airland6,7,6,528.0000,528.0000,760.0000,760.0000,0.0000,232.0000,696.0000,3.0000,3.0000
airland6,8,7,635.0000,635.0000,832.0000,832.0000,0.0000,197.0000,788.0000,4.0000,4.0000
airland6,9,8,730.0000,730.0000,1032.0000,1032.0000,0.0000,302.0000,906.0000,3.0000,3.0000
airland6,10,9,766.0000,766.0000,1112.0000,1112.0000,0.0000,346.0000,1038.0000,3.0000,3.0000
airland6,11,10,790.0000,790.0000,1184.0000,1184.0000,0.0000,394.0000,1576.0000,4.0000,4.0000
airland6,12,11,920.0000,920.0000,1280.0000,1280.0000,0.0000,360.0000,1440.0000,4.0000,4.0000
airland6,13,12,1046.0000,1046.0000,1461.0000,1461.0000,0.0000,415.0000,830.0000,2.0000,2.0000
airland6,14,13,1106.0000,1106.0000,1591.0000,1591.0000,0.0000,485.0000,485.0000,1.0000,1.0000
airland6,15,14,1136.0000,1136.0000,1671.0000,1671.0000,0.0000,535.0000,1605.0000,3.0000,3.0000
airland6,16,15,1166.0000,1166.0000,1751.0000,1751.0000,0.0000,585.0000,1755.0000,3.0000,3.0000
airland6,17,16,1233.0000,1233.0000,1831.0000,1831.0000,0.0000,598.0000,1794.0000,3.0000,3.0000
airland6,18,17,1642.0000,1642.0000,1903.0000,1903.0000,0.0000,261.0000,1044.0000,4.0000,4.0000
airland6,19,18,1715.0000,1715.0000,1999.0000,1999.0000,0.0000,284.0000,1136.0000,4.0000,4.0000
airland6,20,19,1770.0000,1770.0000,2180.0000,2180.0000,0.0000,410.0000,820.0000,2.0000,2.0000
airland6,21,20,2074.0000,2074.0000,2252.0000,2252.0000,0.0000,178.0000,712.0000,4.0000,4.0000
airland6,22,21,2168.0000,2168.0000,2348.0000,2348.0000,0.0000,180.0000,720.0000,4.0000,4.0000
airland6,23,22,2259.0000,2259.0000,2576.0000,2576.0000,0.0000,317.0000,317.0000,1.0000,1.0000
airland6,24,23,2427.0000,2427.0000,2656.0000,2656.0000,0.0000,229.0000,687.0000,3.0000,3.0000
airland6,25,24,2481.0000,2481.0000,2728.0000,2728.0000,0.0000,247.0000,988.0000,4.0000,4.0000
airland6,26,25,2679.0000,2679.0000,2928.0000,2928.0000,0.0000,249.0000,747.0000,3.0000,3.0000
airland6,27,26,2883.0000,2883.0000,2998.0000,2998.0000,0.0000,115.0000,230.0000,2.0000,2.0000
airland6,28,27,2982.0000,2982.0000,3098.0000,3098.0000,0.0000,116.0000,348.0000,3.0000,3.0000
airland6,29,28,3046.0000,3046.0000,3170.0000,3170.0000,0.0000,124.0000,496.0000,4.0000,4.0000
airland6,30,29,3091.0000,3091.0000,3266.0000,3266.0000,0.0000,175.0000,700.0000,4.0000,4.0000
