instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland8,1,0,75.0000,82.0000,486.0000,82.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,2,5,95.0000,106.0000,524.0000,101.0000,5.0000,0.0000,150.0000,30.0000,30.0000
airland8,3,7,98.0000,108.0000,523.0000,109.0000,0.0000,1.0000,30.0000,30.0000,30.0000
airland8,4,3,103.0000,117.0000,565.0000,117.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,5,11,114.0000,126.0000,551.0000,125.0000,1.0000,0.0000,30.0000,30.0000,30.0000
airland8,6,8,117.0000,132.0000,578.0000,133.0000,0.0000,1.0000,30.0000,30.0000,30.0000
airland8,7,9,117.0000,130.0000,569.0000,136.0000,0.0000,6.0000,180.0000,30.0000,30.0000
airland8,8,10,132.0000,149.0000,615.0000,149.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,9,2,134.0000,160.0000,561.0000,152.0000,8.0000,0.0000,80.0000,10.0000,10.0000
airland8,10,18,144.0000,160.0000,607.0000,160.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,11,19,151.0000,169.0000,624.0000,175.0000,0.0000,6.0000,180.0000,30.0000,30.0000
airland8,12,1,157.0000,197.0000,628.0000,197.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,13,6,185.0000,229.0000,664.0000,229.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,14,14,214.0000,258.0000,688.0000,258.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,15,4,201.0000,261.0000,735.0000,261.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,16,23,176.0000,269.0000,610.0000,269.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,17,17,237.0000,287.0000,726.0000,287.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,18,13,250.0000,316.0000,790.0000,316.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland8,19,12,261.0000,336.0000,834.0000,325.0000,11.0000,0.0000,110.0000,10.0000,10.0000
airland8,20,22,225.0000,333.0000,712.0000,333.0000,0.0000,0.0000,0.0000,25.0000,25.0000
airland8,21,16,269.0000,338.0000,818.0000,341.0000,0.0000,3.0000,30.0000,10.0000,10.0000
airland8,22,49,211.0000,345.0000,828.0000,345.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,23,25,295.0000,378.0000,781.0000,378.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,24,24,278.0000,398.0000,721.0000,398.0000,0.0000,0.0000,0.0000,15.0000,15.0000
airland8,25,42,298.0000,401.0000,815.0000,401.0000,0.0000,0.0000,0.0000,25.0000,25.0000
airland8,26,34,311.0000,412.0000,896.0000,407.0000,5.0000,0.0000,75.0000,15.0000,15.0000
airland8,27,15,310.0000,409.0000,967.0000,422.0000,0.0000,13.0000,130.0000,10.0000,10.0000
airland8,28,21,332.0000,425.0000,799.0000,425.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,29,26,325.0000,426.0000,954.0000,428.0000,0.0000,2.0000,40.0000,20.0000,20.0000
airland8,30,43,319.0000,450.0000,827.0000,441.0000,9.0000,0.0000,90.0000,10.0000,10.0000
airland8,31,44,329.0000,456.0000,927.0000,456.0000,0.0000,0.0000,0.0000,15.0000,15.0000
airland8,32,48,377.0000,468.0000,894.0000,471.0000,0.0000,3.0000,45.0000,15.0000,15.0000
airland8,33,27,334.0000,498.0000,897.0000,498.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,34,31,329.0000,512.0000,863.0000,512.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,35,28,362.0000,521.0000,1012.0000,516.0000,5.0000,0.0000,75.0000,15.0000,15.0000
airland8,36,32,356.0000,524.0000,963.0000,524.0000,0.0000,0.0000,0.0000,25.0000,25.0000
airland8,37,46,364.0000,527.0000,958.0000,527.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,38,33,371.0000,562.0000,872.0000,556.0000,6.0000,0.0000,60.0000,10.0000,10.0000
airland8,39,36,471.0000,564.0000,1013.0000,564.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,40,37,435.0000,572.0000,964.0000,572.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,41,47,382.0000,577.0000,916.0000,580.0000,0.0000,3.0000,60.0000,20.0000,20.0000
airland8,42,20,579.0000,628.0000,866.0000,619.0000,9.0000,0.0000,135.0000,15.0000,15.0000
airland8,43,29,496.0000,634.0000,1023.0000,634.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,44,38,461.0000,654.0000,1036.0000,654.0000,0.0000,0.0000,0.0000,15.0000,15.0000
airland8,45,45,421.0000,673.0000,1042.0000,673.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,46,30,475.0000,674.0000,976.0000,688.0000,0.0000,14.0000,210.0000,15.0000,15.0000
airland8,47,35,492.0000,717.0000,1231.0000,717.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland8,48,39,491.0000,725.0000,1098.0000,725.0000,0.0000,0.0000,0.0000,20.0000,20.0000
airland8,49,40,512.0000,732.0000,1127.0000,740.0000,0.0000,8.0000,120.0000,15.0000,15.0000
airland8,50,41,514.0000,763.0000,1134.0000,763.0000,0.0000,0.0000,0.0000,30.0000,30.0000
