instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland1,1,2,89.0000,98.0000,510.0000,98.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,2,3,96.0000,106.0000,521.0000,106.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,3,4,110.0000,123.0000,555.0000,118.0000,5.0000,0.0000,150.0000,30.0000,30.0000
airland1,4,6,124.0000,138.0000,577.0000,126.0000,12.0000,0.0000,360.0000,30.0000,30.0000
airland1,5,5,120.0000,135.0000,576.0000,134.0000,1.0000,0.0000,30.0000,30.0000,30.0000
airland1,6,7,126.0000,140.0000,573.0000,142.0000,0.0000,2.0000,60.0000,30.0000,30.0000
airland1,7,8,135.0000,150.0000,591.0000,150.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,8,0,129.0000,155.0000,559.0000,165.0000,0.0000,10.0000,100.0000,10.0000,10.0000
airland1,9,9,160.0000,180.0000,657.0000,180.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,10,1,195.0000,258.0000,744.0000,258.0000,0.0000,0.0000,0.0000,10.0000,10.0000
