instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland12,1,1,641.0000,925.0000,2441.0000,925.0000,0.0000,0.0000,0.0000,1.3500,1.3700
airland12,2,0,601.0000,1154.0000,2401.0000,1154.0000,0.0000,0.0000,0.0000,1.1800,1.4600
airland12,3,2,808.0000,1274.0000,2608.0000,1274.0000,0.0000,0.0000,0.0000,1.6600,1.3300
airland12,4,3,1092.0000,1603.0000,2892.0000,1537.0000,66.0000,0.0000,69.9600,1.0600,1.3300
airland12,5,5,1299.0000,1639.0000,3099.0000,1605.0000,34.0000,0.0000,66.3000,1.9500,1.8800
airland12,6,4,1197.0000,1718.0000,2997.0000,1718.0000,0.0000,0.0000,0.0000,1.4200,1.4600
airland12,7,7,1628.0000,1759.0000,3428.0000,1786.0000,0.0000,27.0000,27.5400,1.9400,1.0200
airland12,8,6,1532.0000,1766.0000,3332.0000,1854.0000,0.0000,88.0000,128.4800,1.3800,1.4600
airland12,9,8,2078.0000,2475.0000,3878.0000,2475.0000,0.0000,0.0000,0.0000,1.5900,1.3100
airland12,10,9,2428.0000,2700.0000,4228.0000,2700.0000,0.0000,0.0000,0.0000,1.3100,1.3400
airland12,11,10,2495.0000,2817.0000,4295.0000,2817.0000,0.0000,0.0000,0.0000,1.9900,1.3500
airland12,12,12,2702.0000,2995.0000,4502.0000,2930.0000,65.0000,0.0000,79.3000,1.2200,1.2700
airland12,13,13,2866.0000,3020.0000,4666.0000,3020.0000,0.0000,0.0000,0.0000,1.3700,1.8900
airland12,14,11,2524.0000,3026.0000,4324.0000,3133.0000,0.0000,107.0000,121.9800,1.8600,1.1400
airland12,15,14,2921.0000,3190.0000,4721.0000,3201.0000,0.0000,11.0000,12.7600,1.2600,1.1600
airland12,16,17,3102.0000,3370.0000,4902.0000,3322.0000,48.0000,0.0000,88.3200,1.8400,1.5700
airland12,17,16,3004.0000,3462.0000,4804.0000,3435.0000,27.0000,0.0000,49.4100,1.8300,1.8300
airland12,18,15,2961.0000,3503.0000,4761.0000,3503.0000,0.0000,0.0000,0.0000,1.0200,1.2500
airland12,19,21,3454.0000,3546.0000,5254.0000,3571.0000,0.0000,25.0000,28.7500,1.0800,1.1500
airland12,20,18,3118.0000,3501.0000,4918.0000,3639.0000,0.0000,138.0000,242.8800,1.5900,1.7600
airland12,21,19,3344.0000,3903.0000,5144.0000,3879.0000,24.0000,0.0000,34.8000,1.4500,1.9600
airland12,22,20,3372.0000,3918.0000,5172.0000,3947.0000,0.0000,29.0000,38.2800,1.0700,1.3200
airland12,23,23,3747.0000,4015.0000,5547.0000,4015.0000,0.0000,0.0000,0.0000,1.5800,1.5300
airland12,24,24,3889.0000,4217.0000,5689.0000,4217.0000,0.0000,0.0000,0.0000,1.2300,1.5100
airland12,25,22,3737.0000,4307.0000,5537.0000,4285.0000,22.0000,0.0000,36.0800,1.6400,1.4200
airland12,26,25,3899.0000,4367.0000,5699.0000,4375.0000,0.0000,8.0000,10.4800,1.0700,1.3100
airland12,27,26,4179.0000,4396.0000,5979.0000,4488.0000,0.0000,92.0000,100.2800,1.6100,1.0900
airland12,28,27,4270.0000,4710.0000,6070.0000,4700.0000,10.0000,0.0000,14.5000,1.4500,1.9500
airland12,29,28,4565.0000,4714.0000,6365.0000,4768.0000,0.0000,54.0000,68.0400,1.1000,1.2600
airland12,30,29,4605.0000,4943.0000,6405.0000,4858.0000,85.0000,0.0000,128.3500,1.5100,1.9800
airland12,31,30,4670.0000,4971.0000,6470.0000,4971.0000,0.0000,0.0000,0.0000,1.8300,1.5700
airland12,32,32,4694.0000,5018.0000,6494.0000,5039.0000,0.0000,21.0000,36.9600,1.2800,1.7600
airland12,33,31,4678.0000,5147.0000,6478.0000,5107.0000,40.0000,0.0000,41.6000,1.0400,1.8900
airland12,34,33,5041.0000,5164.0000,6841.0000,5220.0000,0.0000,56.0000,88.4800,1.4700,1.5800
airland12,35,36,5312.0000,5457.0000,7112.0000,5402.0000,55.0000,0.0000,83.6000,1.5200,1.8500
airland12,36,34,5124.0000,5656.0000,6924.0000,5470.0000,186.0000,0.0000,258.5400,1.3900,1.5400
airland12,37,35,5157.0000,5564.0000,6957.0000,5538.0000,26.0000,0.0000,43.4200,1.6700,1.6100
airland12,38,40,5539.0000,5821.0000,7339.0000,5606.0000,215.0000,0.0000,217.1500,1.0100,1.8900
airland12,39,37,5359.0000,5864.0000,7159.0000,5696.0000,168.0000,0.0000,277.2000,1.6500,1.3500
airland12,40,38,5365.0000,5857.0000,7165.0000,5809.0000,48.0000,0.0000,69.1200,1.4400,1.5300
airland12,41,42,5705.0000,5911.0000,7505.0000,5877.0000,34.0000,0.0000,64.6000,1.9000,1.9800
airland12,42,39,5506.0000,5967.0000,7306.0000,5967.0000,0.0000,0.0000,0.0000,1.2300,1.5100
airland12,43,44,5859.0000,6007.0000,7659.0000,6035.0000,0.0000,28.0000,30.5200,1.3700,1.0900
airland12,44,46,6087.0000,6356.0000,7887.0000,6103.0000,253.0000,0.0000,387.0900,1.5300,1.3400
airland12,45,41,5657.0000,6229.0000,7457.0000,6216.0000,13.0000,0.0000,25.7400,1.9800,1.9300
airland12,46,43,5719.0000,6292.0000,7519.0000,6284.0000,8.0000,0.0000,10.2400,1.2800,1.3800
airland12,47,51,6315.0000,6380.0000,8115.0000,6352.0000,28.0000,0.0000,49.0000,1.7500,1.6600
airland12,48,49,6251.0000,6359.0000,8051.0000,6420.0000,0.0000,61.0000,87.2300,1.5400,1.4300
airland12,49,45,5911.0000,6477.0000,7711.0000,6510.0000,0.0000,33.0000,56.4300,1.5500,1.7100
airland12,50,48,6213.0000,6529.0000,8013.0000,6623.0000,0.0000,94.0000,138.1800,1.9000,1.4700
airland12,51,47,6119.0000,6525.0000,7919.0000,6691.0000,0.0000,166.0000,184.2600,1.5500,1.1100
