instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland11,1,0,601.0000,1154.0000,2401.0000,945.0000,209.0000,0.0000,369.9300,1.7700,1.2200
airland11,2,2,958.0000,1073.0000,2758.0000,1013.0000,60.0000,0.0000,70.2000,1.1700,1.2500
airland11,3,4,1099.0000,1261.0000,2899.0000,1103.0000,158.0000,0.0000,227.5200,1.4400,1.1400
airland11,4,1,807.0000,1359.0000,2607.0000,1193.0000,166.0000,0.0000,287.1800,1.7300,1.8100
airland11,5,7,1189.0000,1323.0000,2989.0000,1306.0000,17.0000,0.0000,29.9200,1.7600,1.9800
airland11,6,3,981.0000,1417.0000,2781.0000,1374.0000,43.0000,0.0000,55.4700,1.2900,1.6900
airland11,7,5,1174.0000,1442.0000,2974.0000,1442.0000,0.0000,0.0000,0.0000,1.4700,1.9700
airland11,8,10,1243.0000,1471.0000,3043.0000,1510.0000,0.0000,39.0000,77.2200,1.3300,1.9800
airland11,9,9,1211.0000,1456.0000,3011.0000,1578.0000,0.0000,122.0000,152.5000,1.9700,1.2500
airland11,10,8,1194.0000,1605.0000,2994.0000,1646.0000,0.0000,41.0000,73.3900,1.3000,1.7900
airland11,11,6,1186.0000,1523.0000,2986.0000,1736.0000,0.0000,213.0000,321.6300,1.7900,1.5100
airland11,12,11,1490.0000,1762.0000,3290.0000,1849.0000,0.0000,87.0000,155.7300,1.7700,1.7900
airland11,13,12,1785.0000,1907.0000,3585.0000,1917.0000,0.0000,10.0000,17.1000,1.1200,1.7100
airland11,14,13,1867.0000,2139.0000,3667.0000,2139.0000,0.0000,0.0000,0.0000,1.4100,1.8400
airland11,15,15,2235.0000,2779.0000,4035.0000,2514.0000,265.0000,0.0000,270.3000,1.0200,1.4300
airland11,16,14,2232.0000,2582.0000,4032.0000,2582.0000,0.0000,0.0000,0.0000,1.4600,1.1600
airland11,17,18,2581.0000,2730.0000,4381.0000,2650.0000,80.0000,0.0000,80.8000,1.0100,1.0200
airland11,18,16,2286.0000,2768.0000,4086.0000,2718.0000,50.0000,0.0000,52.0000,1.0400,1.2500
airland11,19,17,2391.0000,2776.0000,4191.0000,2786.0000,0.0000,10.0000,12.6000,1.3200,1.2600
airland11,20,20,2666.0000,2879.0000,4466.0000,2876.0000,3.0000,0.0000,4.9800,1.6600,1.7800
airland11,21,22,2829.0000,2940.0000,4629.0000,2989.0000,0.0000,49.0000,86.2400,1.4100,1.7600
airland11,22,19,2634.0000,3092.0000,4434.0000,3057.0000,35.0000,0.0000,44.1000,1.2600,1.0100
airland11,23,21,2719.0000,3154.0000,4519.0000,3170.0000,0.0000,16.0000,31.2000,1.8000,1.9500
airland11,24,23,2868.0000,3246.0000,4668.0000,3246.0000,0.0000,0.0000,0.0000,1.8200,1.8500
airland11,25,24,2877.0000,3424.0000,4677.0000,3424.0000,0.0000,0.0000,0.0000,1.2700,1.3500
airland11,26,28,3557.0000,3635.0000,5357.0000,3611.0000,24.0000,0.0000,44.1600,1.8400,1.2300
airland11,27,27,3511.0000,3779.0000,5311.0000,3724.0000,55.0000,0.0000,107.8000,1.9600,1.3700
airland11,28,30,3689.0000,3848.0000,5489.0000,3792.0000,56.0000,0.0000,84.0000,1.5000,1.9900
airland11,29,26,3427.0000,3858.0000,5227.0000,3860.0000,0.0000,2.0000,2.8200,1.5000,1.4100
airland11,30,25,3373.0000,3938.0000,5173.0000,3973.0000,0.0000,35.0000,63.7000,1.8300,1.8200
airland11,31,31,3738.0000,4041.0000,5538.0000,4041.0000,0.0000,0.0000,0.0000,1.7800,1.7800
airland11,32,29,3568.0000,4046.0000,5368.0000,4154.0000,0.0000,108.0000,108.0000,1.6800,1.0000
airland11,33,32,3757.0000,4068.0000,5557.0000,4222.0000,0.0000,154.0000,235.6200,1.0700,1.5300
airland11,34,33,3809.0000,4400.0000,5609.0000,4400.0000,0.0000,0.0000,0.0000,1.8400,1.2300
airland11,35,37,4359.0000,4509.0000,6159.0000,4509.0000,0.0000,0.0000,0.0000,1.2000,1.3100
airland11,36,35,4297.0000,4666.0000,6097.0000,4581.0000,85.0000,0.0000,107.1000,1.2600,1.6100
airland11,37,36,4316.0000,4651.0000,6116.0000,4649.0000,2.0000,0.0000,2.5600,1.2800,1.6100
airland11,38,38,4613.0000,4739.0000,6413.0000,4739.0000,0.0000,0.0000,0.0000,1.8400,1.8300
airland11,39,34,4258.0000,4794.0000,6058.0000,4829.0000,0.0000,35.0000,64.7500,1.7800,1.8500
